,Word,Frequency
0,Microsoft,28
1,365,8
2,Windows,8
3,Surface,7
4,Center,6
5,Xbox,6
6,Developer,5
7,Office,4
8,games,3
9,Business,3
10,Dev,3
11,Azure,3
12,Store,3
13,2,3
14,Deals,3
15,Company,2
16,IT,2
17,Visual,2
18,Studio,2
19,About,2
20,HoloLens,2
21,Power,2
22,Other,2
23,Education,2
24,Virtual,2
25,Privacy,2
26,training,2
27,students,2
28,education,2
29,Sitemap,2
30,Search,2
31,page,2
32,Go,2
33,workshops,2
34,Laptop,2
35,Apps,2
36,PCs,2
37,Software,2
38,Shop,2
39,Entertainment,2
40,Devices,2
41,Support,2
42,Promise,1
43,Financing,1
44,Investors,1
45,tracking,1
46,eco,1
47,schools,1
48,parents,1
49,Enterprise,1
50,AppSource,1
51,our,1
52,Returns,1
53,Order,1
54,Trademarks,1
55,support,1
56,ads,1
57,Download,1
58,profile,1
59,Account,1
60,apps,1
61,10,1
62,Duo,1
63,X,1
64,Pro,1
65,Â©,1
66,4,1
67,Safety,1
68,Terms,1
69,use,1
70,Diversity,1
71,news,1
72,inclusion,1
73,Careers,1
74,Accessibility,1
75,Security,1
76,Garage,1
77,Program,1
78,9,1
79,Channel,1
80,program,1
81,new,1
82,developer,1
83,English,1
84,(United,1
85,Retail,1
86,States),1
87,Contact,1
88,services,1
89,Manage,1
90,Financial,1
91,cookies,1
92,Manufacturing,1
93,Healthcare,1
94,Government,1
95,Automotive,1
96,Skip,1
97,Microsoft.com,1
98,What's,1
99,Phones,1
100,platform,1
101,Data,1
102,Industry,1
103,Dynamics,1
104,TV,1
105,Movies,1
106,digital,1
107,PC,1
108,Gold,1
109,Live,1
110,Ultimate,1
111,Pass,1
112,Game,1
113,reality,1
114,available.,1
115,mixed,1
116,VR,1
117,Accessories,1
118,Computers,1
119,Edge,1
120,Teams,1
121,OneNote,1
122,Skype,1
123,Outlook,1
124,OneDrive,1
125,All,1
126,More,1
127,content,1
128,Advertising,1
129,Platform,1
130,.NET,1
131,Server,1
132,longer,1
133,looking,1
134,you're,1
135,or,1
136,misspelled,1
137,may,1
138,URL,1
139,found.,1
140,cannot,1
141,requested,1
142,"sorry,",1
143,We,1
144,Cancel,1
145,main,1
146,View,1
147,deals,1
148,Parents,1
149,Students,1
150,Experience,1
151,Licensing,1
152,cards,1
153,Gift,1
154,security,1
155,downloads,1
156,Free,1
157,Rewards,1
158,Docs,1
159,2021,1
